lemma,sedes,x,z
ἄδικος,4,5,+1.13389341902768
ἄδικος,6,3,-0.377964473009227
ἄδικος,8,2,-1.13389341902768
ἄδμητος,1,4,-0.494413232473044
ἄδμητος,3,8,+0.943879807448539
ἄδμητος,4,1,-1.57313301241423
ἄδμητος,5,1,-1.57313301241423
ἄδμητος,9,2,-1.21355975243384
ἄδοτος,2,1,
ἄδραστος,1,5,+0.896258159530272
ἄδραστος,3,3,-0.384110639798688
ἄδραστος,5,1,-1.66447943912765
ἄδραστος,10.5,1,-1.66447943912765
ἄδρυπτος,1,3,+0.577350269189626
ἄδρυπτος,3,1,-1.73205080756888
ἄδυτον,4,1,
ἄδυτος,2,2,+0.5
ἄδυτος,4,2,+0.5
ἄδυτος,10,1,-2
ἄδων,2.5,1,-1.73205080756888
ἄδων,4.5,3,+0.577350269189626
ἄδωνις,4.5,6,-1.08557242686061
ἄδωνις,6,1,-1.69690160922238
ἄδωνις,6.5,21,+0.748415120224718
ἄδωνις,8.5,2,-1.57463577275003
ἄδωνις,10.5,3,-1.45236993627767
ἄελλα,4.5,2,-5.78791845139511
ἄελλα,10.5,67,+0.172773685116273
ἄελπτος,4.5,3,+0.816496580927726
ἄελπτος,10.5,2,-1.22474487139159
ἄεμμα,4.5,1,
ἄεμμα,10.5,1,
ἄεος,7,1,
ἄεσα,4,1,
ἄεσα,7,1,
ἄζα,11,1,
ἄζιλιν,8,1,
ἄζυξ,1,5,-1.18637238317621
ἄζυξ,3,3,-1.50436910443994
ἄζυξ,7,1,-1.82236582570366
ἄζυξ,9,17,+0.721607944406149
ἄζω,1,2,+0.707106781186547
ἄζω,3,1,-1.4142135623731
ἄζω,9,1,-1.4142135623731
ἄζω,11,2,+0.707106781186547
ἄζωστος,3,1,
ἄημα,4.5,1,
ἄημα,10.5,1,
ἄημι,2.5,2,-1.82898132011009
ἄημι,4.5,4,-1.66003138076587
ἄημι,6.5,6,-1.49108144142165
ἄημι,10.5,31,+0.620792800381082
ἄθαπτος,2.5,1,-1
ἄθαπτος,4.5,2,+1
ἄθαπτος,10.5,1,-1
ἄθεσμος,4.5,2,
ἄθηλυς,6.5,1,
ἄθικτος,10.5,1,
ἄθλα,11,1,
ἄθλημα,6,1,
ἄθλιος,6.5,23,+0.208514414057075
ἄθλιος,8.5,1,-4.79583152331272
ἄθρως,11,1,
ἄθυμος,10.5,1,
ἄθυρμα,2.5,1,-1.41841628653395
ἄθυρμα,4.5,1,-1.41841628653395
ἄθυρμα,6.5,3,-0.218217890235992
ἄθυρμα,8.5,1,-1.41841628653395
ἄθυρμα,10.5,5,+0.981980506061966
ἄθως,2,2,+1
ἄθως,4,1,-1
ἄθως,6.5,1,-1
ἄϊδα,3,1,
ἄϊδα,7,1,
ἄϊδόσδε,4,1,-2
ἄϊδόσδε,8,4,+0.5
ἄϊδ’,9,1,
ἄϊρος,4.5,1,
ἄϊσθε,4.5,1,
ἄϊστοι,10.5,2,
ἄϊστος,2.5,1,-1.15470053837925
ἄϊστος,4.5,4,+0.866025403784439
ἄϊστος,8.5,1,-1.15470053837925
ἄϊστος,10.5,1,-1.15470053837925
ἄιδόσδε,8,1,
ἄιδρις,2.5,2,+0.5
ἄιδρις,6.5,1,-2
ἄιδρις,10.5,2,+0.5
ἄιξ,8,1,
ἄιστος,2.5,1,-2.44948974278318
ἄιστος,4.5,6,+0.408248290463863
ἄκαινα,10.5,1,
ἄκαμπτος,4.5,1,
ἄκανθα,4.5,1,-5.56776436283002
ἄκανθα,10.5,31,+0.179605302026775
ἄκανθος,10.5,1,
ἄκαστος,4.5,2,-1.4142135623731
ἄκαστος,10.5,4,+0.707106781186547
ἄκατος,8,2,
ἄκεσμα,2.5,1,
ἄκεστορίην,2.5,1,
ἄκης,3,4,+0.707106781186547
ἄκης,9,2,-1.4142135623731
ἄκικυς,10.5,2,
ἄκιος,6,1,
ἄκις,7,1,
ἄκλαυστος,1,1,-1.7739826805604
ἄκλαυστος,2,2,-1.53639571441391
ἄκλαυστος,3,11,+0.60188698090442
